2100-1010-00,COCKPIT VOICE RECORDER (30 min),4,,
80037-110V,COFFEE JUG  W/O SPIGOT,1.5,,
101-384024-1,COIL ASSY -VAPORATOR,2,,
74-451-AA,COLD PATCH KIT*RA*,0.01,,
210-1007-1,COLD WATER TANK,1,,
C2400L4VM24B,COMPASS,4,,
101-530508-13,COMPASS ASSEM-STANBY,1.5,,
904624V311,COMPRESSOR,4,,
ER206R-25202,COMPRESSOR,10,,
101-555156-1,COMPRESSOR ASSEMBLY,4,,
201-0450-1,COMPRESSOR ASSEMBLY,4,,
90-555039-5,COMPRESSOR ASSEMBLY,8,,
101-555214-1,COMPRESSOR ASSY  AIR CONDITIONIN,4,,
100-384072-5,COMPRESSOR DRIVE MOTOR,8,,
101-910207-7,COMPRESSOR FITTING      AIR CONDITIONER,1,,
101-910207-9,COMPRESSOR FITTING      AIR CONDITIONER,1.5,,
101-389037-13,COND CONT CABLE,12,,
101-389037-15,COND CONT CABLE,12,,
101-384003-7,CONDENSER COIL ASSEMBLY,8,,
13600LA90069,CONE & SEAL,0.5,,
3008787,CONNECTOR,1,,
100-340477-19,CONNECTOR ASSEM B.D.,1.5,,
101-342277-27,CONNECTOR ASSEM B.D.,1,,
80037-110,CONTAINER  HOT,0.3,,
101-384219-5,CONTAINER ASSEMBLY,5,,
101-384223-5,CONTAINER ASSEMBLY(FIRST AID OXYGEN MASK,2,,
50-580026-9,CONTROL,1.5,,
30-326-7,CONTROL AMPLIFIER,4,,
2524.001.88-123,CONTROL ASSEMBLY,2,,
50-580026-1,CONTROL ASSEMBLY,2.5,,
2524.001.88-02E,CONTROL ASSY,4,,
101-524059-1,CONTROL HORN ASSEMBLY,3,,
101-380025-17,CONTROLLER,3,,
201-0750-2,CONTROLLER,2,,
300-0750-1,CONTROLLER,4.5,,
300-0750-2,CONTROLLER,4.5,,
101-384177-11,CONTROLLER ASSEMBLY,8,,
101-384177-9,CONTROLLER ASSEMBLY,5,,
130346-12,CONTROLLER-CABIN PRESSURIZATION 6.5PSI,2,,
101-380025-11,CONTROLLER-FLOW CONTROL,1,,
75001145,CONVERTER  VIDEO,2,,
50-380070-4,CONVERTER ASSY,2,,
AN809-1,CORE-HIGH PRESSURE VALVE,0.2,,
FL055001,CORROSION CONTROL INSPECTION,2,,
10450-11950,COUNTER POINTER ALTIMETER,3,,
101450-11953,COUNTER-POINTER ENCODE ALTIME,3,,
3114670-01,COVER,2,,
101-120091-29,COVER ASSEM BOOT INSTL,1,,
101-980045-15,COVER ASSEMBLY,1,,
101-980045-16,COVER ASSEMBLY,1,,
50-120101-10,COVER ASSEMBLY          UPPER AFT SPAR F,2,,
101-380023-1,COVER ASSEMBLY (SHEEPSKIN),1,,
50-120102-18,COVER ASSEMBLY -LOWER AFT SPAR FITTING,2,,
50-120101-9,COVER ASSEMBLY UPPER AFT SPAR F,2,,
50-120102-19,COVER ASSEM-LOWER AFT SPAR FITTING,2,,
50-120186-9,COVER ASSEM-LOWER FWD   SPAR FITTING,1,,
101-120076-13,COVER ASSEM-SKIN ASSEM  CENTER SECTION,2,,
101-120076-14,COVER ASSEM-SKIN ASSEM  CENTER SECTION,2,,
50-120101-1,COVER ASSEM-UPPER AFT  S/S TO -10,1,,
102-1542-01,COVER ASSY,0.5,,
101-980045-19,COVER ASSY - ACCESS  NACELLE,4,,
101-980045-20,COVER ASSY - ACCESS  NACELLE,4,,
000-170000-53,COVER LENS-WING TIP ASSEMBLY,1,,
101-531075-39,COVER PLATE ASSEMBLY,1,,
109-910023-1,COWL ASSEMBLY - UPR FWD,12,,
128-380067-1,CREW MASK,1.5,,
128-380067-29,CREW OXYGEN MASK,2,,
128-380067-11,CREW OXYGEN MASK ASSY,1.5,,
50-389095,CROSS FEED VALVE,4,,
130-380014-1,CUPHOLDER ASSY (COCKPIT),1,,
76504-F302,CURRENT SENSOR,4,,
DK100,CVR BECAN/BATTERY *RA,1,,
99-820100-5,CYL ASSEM NOSE LD GR,6,,
101-388014-19,CYLINDER ASSEMBLY  MLG RETRACT,4,,
101-388014-17,CYLINDER ASSY  MLG RETRACT,8,,
50-820004-3,DAMPENER ASSEMBLY,1,,
