101-530508-13,COMPASS ASSEM-STANBY,1.5,,
904624V311,COMPRESSOR,4,,
ER206R-25202,COMPRESSOR,10,,
101-555156-1,COMPRESSOR ASSEMBLY,4,,
201-0450-1,COMPRESSOR ASSEMBLY,4,,
90-555039-5,COMPRESSOR ASSEMBLY,8,,
101-555214-1,COMPRESSOR ASSY  AIR CONDITIONIN,4,,
100-384072-5,COMPRESSOR DRIVE MOTOR,8,,
101-910207-9,COMPRESSOR FITTING      AIR CONDITIONER,1.5,,
101-384003-7,CONDENSER COIL ASSEMBLY,6,,
13600L13685L,CONE & SEAL,1,,
3008787,CONNECTOR,1,,
80037-110,CONTAINER  HOT,0.5,,
101-384219-5,CONTAINER ASSEMBLY,5,,
101-384162-3,CONTAINER ASSEMBLY - DOUBLE,1.5,,
101-384223-5,CONTAINER ASSEMBLY(FIRST AID OXYGEN MASK,5,,
50-580026-9,CONTROL,1.5,,
C28-5,CONTROL,1,,
CM39570,CONTROL,1,,
30-326-7,CONTROL AMPLIFIER,4,,
50-580026-1,CONTROL ASSEMBLY,2.5,,
213784,CONTROL BOX ASSY  PROPELLER,2,,
115-389001-21,CONTROL CABLE,16,,
115-389001-23,CONTROL CABLE,16,,
115-389002-15,CONTROL CABLE,16,,
99-380001-25,CONTROL CABLE,16,,
99-380001-27,CONTROL CABLE,16,,
115-389002-17,CONTROL CABLE - PROP,16,,
101-384218-1,CONTROL CABLE-PULL CABLE ASSEMBLY OXYGEN,1.5,,
101-380025-17,CONTROLLER,3,,
201-0750-2,CONTROLLER,2,,
300-0750-1,CONTROLLER,4.5,,
300-0750-2,CONTROLLER,4.5,,
MC815AS1,CONTROLLER,3,,
101-384177-11,CONTROLLER ASSEMBLY,8,,
101-384177-9,CONTROLLER ASSEMBLY,5,,
130346-12,CONTROLLER-CABIN PRESSURIZATION 6.5PSI,3,,
101-380025-11,CONTROLLER-FLOW CONTROL,1,,
50-380070-4,CONVERTER ASSY,2,,
AN809-1,CORE-HIGH PRESSURE VALVE,0.2,,
BB055001,CORROSION CONTROL INSPECTION,2,,
10450-11950,COUNTER POINTER ALTIMETER,3,,
10450-11951,COUNTER-POINTER ALTIMETER(MBS),6,,
101450-11953,COUNTER-POINTER ENCODE ALTIME,3,,
3024973,COUPLING,2,,
A4513-1,COVER,1.5,,
101-364575-1,COVER ASSEM,0.5,,
101-369014-5,COVER ASSEM - GENERATOR TERMINAL,1,,
50-120101-10,COVER ASSEMBLY          UPPER AFT SPAR F,2,,
101-120076-15,COVER ASSEMBLY- ACCESS  FULL CELL,4,,
50-120102-18,COVER ASSEMBLY -LOWER AFT SPAR FITTING,2,,
(D)50-120101,COVER ASSEMBLY-UPPER AFT,0.5,,
50-120102-19,COVER ASSEM-LOWER AFT SPAR FITTING,2,,
50-120186-9,COVER ASSEM-LOWER FWD   SPAR FITTING,1,,
101-120076-13,COVER ASSEM-SKIN ASSEM  CENTER SECTION,2,,
101-120076-14,COVER ASSEM-SKIN ASSEM  CENTER SECTION,2,,
50-120101-1,COVER ASSEM-UPPER AFT  S/S TO -10,1,,
101-980045-18,COVER ASSY - ACCESS  NACELLE,3,,
101-980045-19,COVER ASSY - ACCESS  NACELLE,4,,
101-389008-1,COVER DUCT,2,,
101-531193-3,COVER FUEL PANEL,2,,
000-170000-54,COVER LENS - WING TIP ASSEMBLY,3.5,,
000-170000-53,COVER LENS-WING TIP ASSEMBLY,1,,
109-910023-1,COWL ASSEMBLY - UPR FWD,12,,
101-910024-1,COWLING ASSEMBLY-FWD,8,,
128-380067-1,CREW MASK,1.5,,
128-380067-29,CREW OXYGEN MASK,2,,
128-380067-11,CREW OXYGEN MASK ASSY,1.5,,
50-389095,CROSS FEED VALVE,4,,
115-389001-27,CTRL CABLE,16,,
2120-1P/O,CUPHOLDER,1,,
130-380014-1,CUPHOLDER ASSY (COCKPIT),1,,
76504-F302,CURRENT SENSOR,4,,
DK100,CVR BECAN/BATTERY *RA,1,,
99-820100-5,CYL ASSEM NOSE LD GR,6,,
101-388014-19,CYLINDER ASSEMBLY  MLG RETRACT,8,,
101-388014-17,CYLINDER ASSY  MLG RETRACT,4,,
101-364270-5,D C STATIC CONTROL      PANEL,1.5,,
066-1037-08,D.M.E.,1,,
50-820004-3,DAMPENER ASSEMBLY,1,,
100-430060-1,DAMPENER ASSEMBLY - AIRSTAIR DOOR,1,,
100-430060-25,DAMPENER ASSEMBLY - AIRSTAIR DOOR,1,,
100-430060-27,DAMPENER ASSEMBLY - AIRSTAIR DOOR,1,,
501-1870-18,DATA CONFIGURATION MODULE,4,,
25S-7D5041-07,DEICER  LH CENTER SECTION,8,,
25S-7D5041-02,DEICER  WING RH,16,,
101-380001-1,DEICER BOOT,16,,
101-380001-2,DEICER BOOT,16,,
101-380001-5,DEICER BOOT,12,,
101-380001-7,DEICER BOOT,8,,
101-380001-8,DEICER BOOT,8,,
101-380001-28,DE-ICER BOOT - FAST BOOT,16,,
3E2092-2,DE-ICER WIRE HARNESS,1,,
Part,Description,Flat Rate,Model Family,As of 2/11/2009 12:05:48 PM
013-1399-010,DESECANT CHAMBER,1,,
30-215-8,DETECTOR,1,,
3103346-01,DIAPHRAM,3,,
50-430026,DIAPHRAM-LOCK ASSEMBLY PRESS-CABIN UPPER,8,,
M811B,DIGITAL CLOCK,1,,
MB801-28,DIGITAL CLOCK CONTROL WHEEL,1,,
101-384199-1,DIGITAL O.A.T. INDICATOR,1,,
480B,DINKY LINK,3,,
100-361045-3,DIODE ASSEMBLY -FLIGHT  INSTALLATION,1,,
50-384205,DIRECTIONAL GYRO,2,,
101-380053-7,DISCHARGER,1,,
101-380053-9,DISCHARGER,0.5,,
ESD4C,DISCHARGER,1,,
DD1W,DISCHARGER (white),0.5,,
101-380053-11,DISCHARGER S/A DD1W,0.5,,
101-8001-239,DISK,2,,
133-1097,DISK BRAKE,2,,
133-1098,DISK BRAKE,2,,
101-8002-13,DISK ROTATING,6,,
5002260,DISK ROTATING,4,,
101-8002-15,DISK STATIONARY,3,,
101-8001-15,DISK133B420,3,,
311000,DISPENSER-SILVER DECANTER,0.4,,
BB052167,DO NO USE,,,
BB055000,DO NOT USE,0.01,,
C3004-2P,DOME SPINNR POLISH,1,,
101-920061-25,DOOR - ANTI-SIPHON ASSEM FUEL FILLER,7,,
101-420097-1,DOOR ASEM-RUDDR gust lock(-1red or-1yelo,1,,
